,site_id,longitude,latitude,State,County,fraction_of_usable_area,power_curve,capacity,wind_speed,capacity_factor,full_timeseries_directory,full_timeseries_path
3143,47047,-117.595551,37.570236,Nevada,Esmeralda,1.0,3,16,4.63,0.193,94,94/47047.nc
3144,63271,-117.599152,39.314747,Nevada,Lander,0.9265,3,16,5.28,0.237,126,126/63271.nc
3145,80574,-117.595428,40.835312,Nevada,Humboldt,0.7559,3,14,7.79,0.414,161,161/80574.nc
3146,99119,-117.595673,42.300434,Oregon,Malheur,1.0,2,16,7.15,0.326,198,198/99119.nc
3147,108861,-117.599121,43.496658,Oregon,Malheur,0.1259,3,4,5.63,0.299,217,217/108861.nc
3148,114458,-117.598404,44.752644,Oregon,Baker,0.7836,3,14,7.31,0.405,228,228/114458.nc
3149,121069,-117.601486,46.298248,Washington,Garfield,0.6257,2,12,7.53,0.374,242,242/121069.nc
3150,121955,-117.60257,46.510635,Washington,Garfield,0.5374,3,10,7.57,0.453,243,243/121955.nc
3151,125252,-117.596252,47.613197,Washington,Spokane,1.0,3,16,6.56,0.345,250,250/125252.nc
3152,31042,-117.585541,34.711731,California,San Bernardino,0.6294,3,12,6.63,0.375,62,62/31042.nc
3153,37281,-117.588959,35.547752,California,San Bernardino,0.9627,3,16,6.59,0.329,74,74/37281.nc
3154,46496,-117.586975,37.47641,Nevada,Esmeralda,0.7363,2,12,7.5,0.337,92,92/46496.nc
3155,46926,-117.589355,37.552452,Nevada,Esmeralda,1.0,3,16,5.02,0.226,93,93/46926.nc
3156,56581,-117.592407,38.740131,Nevada,Nye,0.0225,3,2,6.47,0.326,113,113/56581.nc
3157,81930,-117.587341,40.952568,Nevada,Humboldt,0.9039,3,16,6.98,0.334,163,163/81930.nc
3158,109122,-117.588043,43.537506,Oregon,Malheur,0.9197,3,16,6.23,0.32,218,218/109122.nc
3159,121267,-117.589859,46.339119,Washington,Garfield,0.9717,2,16,7.8,0.394,242,242/121267.nc
3160,122094,-117.590912,46.551502,Washington,Garfield,0.7336,3,12,7.08,0.412,244,244/122094.nc
3161,125193,-117.588898,47.595249,Washington,Spokane,1.0,3,16,6.61,0.351,250,250/125193.nc
3162,30880,-117.579605,34.69408,California,San Bernardino,0.8861,3,16,6.27,0.335,61,61/30880.nc
3163,37077,-117.57695,35.512379,California,San Bernardino,0.5212,2,10,6.93,0.376,74,74/37077.nc
3164,46700,-117.57695,37.516891,Nevada,Esmeralda,0.7056,2,12,7.09,0.326,93,93/46700.nc
3165,57047,-117.582184,38.780712,Nevada,Nye,0.0639,2,2,6.34,0.27,114,114/57047.nc
3166,80996,-117.584854,40.876045,Nevada,Humboldt,0.7771,3,14,7.68,0.39,161,161/80996.nc
3167,99374,-117.578125,42.323315,Oregon,Malheur,0.9524,2,16,6.85,0.305,198,198/99374.nc
3168,107850,-117.580261,43.30732,Oregon,Malheur,0.8187,3,14,6.87,0.358,215,215/107850.nc
3169,108997,-117.581207,43.519554,Oregon,Malheur,0.8792,3,16,5.75,0.284,217,217/108997.nc
3170,121176,-117.582672,46.321159,Washington,Garfield,0.6605,2,12,8.16,0.431,242,242/121176.nc
3171,121956,-117.576477,46.515594,Washington,Garfield,0.6293,2,12,7.57,0.421,243,243/121956.nc
3172,125308,-117.576981,47.636101,Washington,Spokane,0.8374,3,14,6.49,0.345,250,250/125308.nc
3173,31200,-117.569992,34.734253,California,San Bernardino,0.8375,2,14,7.23,0.378,62,62/31200.nc
3174,37282,-117.567215,35.552639,California,San Bernardino,1.0,3,16,6.56,0.331,74,74/37282.nc
3175,46312,-117.574615,37.440845,Nevada,Esmeralda,0.7306,2,12,7.26,0.314,92,92/46312.nc
3176,46927,-117.56691,37.557362,Nevada,Esmeralda,0.931,3,16,5.09,0.235,93,93/46927.nc
3177,63669,-117.565735,39.360313,Nevada,Lander,1.0,3,16,4.63,0.192,127,127/63669.nc
3178,80398,-117.565247,40.822357,Nevada,Humboldt,0.7757,3,14,6.71,0.349,160,160/80398.nc
3179,107765,-117.573456,43.289379,Oregon,Malheur,0.532,3,10,6.97,0.376,215,215/107765.nc
3180,108862,-117.574371,43.501614,Oregon,Malheur,0.4475,3,8,5.43,0.271,217,217/108862.nc
3181,121346,-117.57103,46.362038,Washington,Garfield,0.8694,2,14,8.02,0.423,242,242/121346.nc
3182,122166,-117.572006,46.574421,Washington,Garfield,0.8925,3,16,6.67,0.375,244,244/122166.nc
3183,125253,-117.569626,47.618153,Washington,Spokane,0.8633,3,14,6.56,0.35,250,250/125253.nc
3184,30881,-117.558136,34.698956,California,San Bernardino,0.7834,2,14,6.81,0.342,61,61/30881.nc
