,state,latitude,longitude,Distance to Salt Cavern [km],Salt Cavern Name
1303,NewMexico,32.194,-104.639,160.34547536882368,KEYSTONE
1304,Kentucky,38.092,-83.212,186.8286605747282,SALTVILLE STORAGE
1305,Arkansas,34.926,-92.732,266.53333277263937,ARCADIA
1306,NewYork,42.32,-76.905,10.67586095704594,SENECA LAKE STORAGE
1307,Minnesota,46.884,-94.463,881.3405065726788,LACEY STORAGE
1308,Missouri,39.317,-91.804,656.6666648531549,LACEY STORAGE
1309,Wyoming,43.351,-108.344,975.2747873862965,ASQUITH
1310,Montana,46.843,-110.068,618.9738390860183,ASQUITH
1311,Virginia,38.237,-78.379,336.36152459239355,SALTVILLE STORAGE
1312,Connecticut,41.621,-72.294,391.2647463750069,SENECA LAKE STORAGE
1313,NewMexico,33.347,-103.734,115.33595766961804,SALADO
1314,NewMexico,33.848,-103.656,154.01652152700206,SALADO
1315,Nevada,39.028,-117.131,1471.6365393109727,SALADO
1316,Kansas,39.67,-97.058,869.322107583395,BETHEL
1317,NewJersey,41.163,-74.421,248.407783680387,SENECA LAKE STORAGE
1318,NewMexico,36.805,-108.798,715.566702627113,SALADO
1319,SouthDakota,43.552,-98.643,1100.3967294913523,LACEY STORAGE
1320,Washington,46.733,-119.181,1050.9781908419436,ASQUITH
1321,California,36.189,-120.14,1637.698793444721,SALADO
1322,Colorado,37.271,-104.182,527.3671974208412,SALADO
1323,Utah,39.696,-110.524,1044.0195890003915,SALADO
1324,Texas,33.782,-95.14,221.93124901470028,BETHEL
1325,Georgia,31.106,-82.133,560.8049298987636,MCINTOSH SALT DOME
1326,Texas,30.916,-100.709,244.1106085357949,KEYSTONE
1327,Montana,45.057,-107.916,783.7571864020306,ASQUITH
1328,Idaho,42.379,-111.307,1122.7131057651798,ASQUITH
1329,NorthCarolina,35.179,-77.938,392.6554232116199,SALTVILLE STORAGE
1330,SouthCarolina,33.188,-81.076,412.4109892037913,SALTVILLE STORAGE
1331,Wisconsin,45.308,-89.971,495.33934599460434,LACEY STORAGE
1332,Idaho,44.192,-113.64,998.9872158385213,ASQUITH
1333,Kansas,38.194,-101.499,626.3544688851769,SALADO
1334,SouthCarolina,34.406,-79.613,335.2584294491681,SALTVILLE STORAGE
1335,Texas,30.433,-100.303,305.56212840111147,KEYSTONE
1336,Pennsylvania,41.631,-77.716,110.47468028240444,SENECA LAKE STORAGE
1337,Kansas,37.409,-97.987,640.9293641301507,BETHEL
1338,California,37.442,-121.026,1740.986177558898,SALADO
1339,Arizona,32.555,-109.473,616.9112066496971,KEYSTONE
1340,Minnesota,48.65,-96.235,868.6480261723374,ASQUITH
1341,Arkansas,36.442,-90.892,465.0992982984216,PERRYVILLE
1342,Texas,31.309,-100.86,212.47545095380417,KEYSTONE
1343,SouthCarolina,34.958,-80.832,227.5448277552533,SALTVILLE STORAGE
1344,Texas,35.571,-102.904,323.87081570434486,SALADO
1345,Vermont,44.574,-71.896,470.0727704712408,SENECA LAKE STORAGE
1346,Arkansas,35.372,-91.239,343.3430721617591,PERRYVILLE
1347,NorthDakota,47.271,-97.845,861.7292584102848,ASQUITH
1348,Texas,32.909,-100.579,211.4661441578361,SALADO
1349,Vermont,44.269,-73.129,368.3436491642564,SENECA LAKE STORAGE
1350,Minnesota,45.619,-94.81,844.2837985718223,LACEY STORAGE
1351,Oregon,42.137,-120.802,1507.6245080708563,ASQUITH
1352,Oklahoma,36.819,-98.107,582.6651127626146,BETHEL
1353,Texas,34.369,-101.201,242.40931795574852,SALADO
1354,NorthDakota,47.492,-103.535,575.791325833147,ASQUITH
1355,Wyoming,44.308,-104.523,887.9676795905899,ASQUITH
1356,California,39.861,-121.094,1727.1077529797128,ASQUITH
1357,Washington,48.959,-118.413,865.9035411901988,ASQUITH
1358,Texas,27.571,-98.821,305.211346132068,MARKHAM
1359,Utah,39.643,-110.08,1013.679940048912,SALADO
1360,Kansas,39.672,-95.205,819.1294667584261,ARCADIA
1361,Kentucky,37.159,-83.805,184.01606662262375,SALTVILLE STORAGE
1362,Texas,30.055,-99.66,359.4813810766965,MARKHAM
1363,NewMexico,34.914,-108.853,612.717648214919,SALADO
1364,Georgia,34.228,-83.251,321.49330064245,SALTVILLE STORAGE
1365,Arkansas,33.595,-91.226,149.05113999285925,PERRYVILLE
1366,Wyoming,42.417,-109.961,1095.069872553271,ASQUITH
1367,Oregon,44.555,-121.988,1374.8399429404717,ASQUITH
1368,Texas,32.101,-96.565,65.67950274504992,BETHEL
1369,Texas,30.437,-104.061,200.3099252640042,KEYSTONE
1370,Florida,28.814,-81.557,678.9557761737336,MCINTOSH SALT DOME
1371,Ohio,40.01,-83.698,301.53166386429774,LACEY STORAGE
1372,Illinois,42.499,-90.543,438.37117465195416,LACEY STORAGE
1373,Colorado,38.632,-102.661,663.6246307362229,SALADO
1374,Kansas,38.556,-99.424,723.4004002295405,SALADO
1375,NorthDakota,47.482,-101.421,660.448720641808,ASQUITH
1376,Oklahoma,36.537,-97.01,525.1949086160922,BETHEL
1377,Michigan,45.551,-84.117,293.9698996084879,TIPPERARY - GODERICH
1378,Arizona,33.967,-109.344,625.0684738691003,SALADO
1379,Oregon,44.316,-120.45,1305.961611172538,ASQUITH
1380,Florida,27.016,-81.038,825.352778358324,MCINTOSH SALT DOME
1381,Wisconsin,45.863,-91.966,658.2443854305493,LACEY STORAGE
1382,Arkansas,35.723,-93.098,354.8609761416428,ARCADIA
1383,Wyoming,42.499,-110.13,1088.5884715193886,ASQUITH
1384,Idaho,46.71,-116.543,902.2739644619004,ASQUITH
1385,Louisiana,31.643,-92.115,85.85657767327136,PERRYVILLE
1386,Wyoming,44.444,-109.347,864.6819572356069,ASQUITH
1387,SouthCarolina,32.848,-80.754,454.81696160316994,SALTVILLE STORAGE
1388,Wyoming,44.787,-108.799,820.4216795543662,ASQUITH
1389,Wyoming,42.728,-106.259,1043.308600144013,ASQUITH
1390,Texas,36.396,-102.171,419.50286292387005,SALADO
1391,Alabama,31.83,-86.488,158.27859038260718,MCINTOSH SALT DOME
1392,Idaho,46.07,-114.537,856.0158548503686,ASQUITH
